Fournisseur,Produit,Total, Quantite, Prix(par unité)
farm,ail des ours,6.6,3,2.1999999999999997
farm,côte de bettes,8,10,0.8
shop,müsli spécial,6.75,5,1.35
shop,pain à l'épeautre (500g),9,2,4.5
farm,persil (bouquet),1.6,1,1.6
farm,plantain corne de cerf,3.9,3,1.3
farm,chou blanc (300g),5.76,4,1.44
shop,pain multigrain (400g),4.14,1,4.14
farm,carottes demeter,5.85,13,0.44999999999999996
farm,courge musquée (tranche de 1 kg),4,1,4
shop,gingembre frais,1.35,1,1.35
farm,pomme de terre agria (farineuse),3.5999999999999996,3,1.2
farm,poireaux mini,2.16,3,0.7200000000000001
farm,chou rouge (300g),1.44,1,1.44
