"Date: 23/02/2020 22h14"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud","Chocolat crémant 55 % amarru 100g","3.40 CHF/100 grammes",1.00,3.40
"Epicerie Bio Bois-Genoud","gingembre frais","1.50 CHF/100 g.",2.00,3.00
"Ferme Bio Les Sapins","Oeufs bio","0.90 CHF/pièce",6.00,5.40
"Ferme Bio Les Sapins",Pommes,"4.50 CHF/1kg",2.00,9.00
"Ferme Bois genoud","Carottes bio","0.30 CHF/100 grammes",6.00,1.80
"Ferme Bois genoud","Chou  blanc","0.50 CHF/100 g",4.00,2.00
"Ferme Bois genoud","Chou plume (Kale) ","0.70 CHF/100 grammes",2.00,1.40
"Ferme Bois genoud",Oignons,"0.40 CHF/100 grammes",5.00,2.10
"Ferme Bois genoud",Orange,"0.35 CHF/100 grammes",15.00,4.95
"Ferme Bois genoud",Poireaux,"0.45 CHF/100 gammes",8.00,3.60
"Ferme Bois genoud","Pomme de terre Desirée (pour tout))","1.20 CHF/500 grammes",1.00,1.20
"Ferme Bois genoud",Salade,"1.60 CHF/Pièce",1.00,1.60
