"Date: 29/09/2019 22h50"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud","Graine de tournesol","1.60 CHF/100g",3.00,4.80
"Epicerie Bio Bois-Genoud","Raisins secs sultan demeter","0.90 CHF/100g",5.00,4.50
"Epicerie Bio Bois-Genoud","Riz Complet","0.50 CHF/100g",4.00,2.00
"Epicerie Bio Bois-Genoud","gingembre frais","1.30 CHF/100 g.",5.00,6.50
"Ferme Bois genoud",Betteraves,"0.35 CHF/100 grammes",4.00,1.40
"Ferme Bois genoud","Carottes bio","0.40 CHF/100 grammes",6.00,2.40
"Ferme Bois genoud","Côtes de Bettes","0.50 CHF/100 grammes",4.00,2.10
"Ferme Bois genoud",Navets,"0.35 CHF/100 gramme",5.00,1.75
"Ferme Bois genoud",Oignons,"0.40 CHF/100 grammes",5.00,2.10
"Ferme Bois genoud",Poireaux,"0.50 CHF/100 gammes",4.00,2.10
"Ferme Bois genoud",Poires,"4.60 CHF/1kg",1.00,4.60
"Ferme Bois genoud","Pomme de terre Charlotte (ferme)","1.20 CHF/500 grammes",2.00,2.40
"Ferme Bois genoud",Pruneaux,"0.45 CHF/100 g",5.00,2.25
"Ferme Bois genoud",Salade,"1.60 CHF/Pièce",1.00,1.60
